id_credito,segmento,provincia,ingreso_mensual,deuda_ingreso,antiguedad_meses,dias_mora,saldo,score,pd_12m,lgd,ead,perdida_esperada,incumplimiento,clasificacion
EC-000046,Vivienda,El Oro,840.84,0.6749,35,45,46024.17,661,0.00678,0.25,42537.9,72.09,0,Deficiente
EC-000047,Microcrédito,Tungurahua,2420.57,0.6798,179,0,3019.98,780,0.002,0.6676,2297.96,3.07,0,Normal
EC-000048,Consumo,Tungurahua,705.07,0.4065,63,5,7814.61,831,0.002,0.4343,6585.3,5.72,0,Vigilancia
EC-000049,Productivo,Chimborazo,1889.65,0.3954,144,15,14018.21,744,0.002,0.5125,12974.66,13.3,0,Vigilancia
EC-000050,Consumo,Imbabura,5097.2,0.5692,71,120,9805.86,549,0.05891,0.6637,7404.23,289.49,0,Pérdida
EC-000051,Consumo,Guayas,638.2,0.1673,83,0,5566.24,842,0.002,0.5733,4697.75,5.39,0,Normal
EC-000052,Consumo,Pichincha,961.34,0.2174,135,0,2682.01,839,0.002,0.5432,2014.75,2.19,0,Normal
EC-000053,Vivienda,Manabí,1129.1,0.2757,98,90,37629.57,651,0.00755,0.25,30754.73,58.05,0,Dudoso
EC-000054,Productivo,El Oro,2119.3,0.4069,129,5,11994.4,787,0.002,0.4465,11700.31,10.45,0,Vigilancia
EC-000055,Productivo,Tungurahua,1741.12,0.2134,15,0,58396.63,839,0.002,0.3608,53264.58,38.44,0,Normal
EC-000056,Vivienda,Manabí,5483.17,0.5188,151,0,10531.12,735,0.002,0.25,7650.5,3.83,0,Normal
EC-000057,Microcrédito,El Oro,4106.5,0.2892,74,30,9465.54,745,0.002,0.4919,7171.6,7.06,0,Vigilancia
EC-000058,Microcrédito,Chimborazo,3047.04,0.1965,142,5,3316.4,817,0.002,0.424,2660.65,2.26,0,Vigilancia
EC-000059,Consumo,Loja,2427.6,0.1461,52,5,8357.19,830,0.002,0.4768,8112.77,7.74,0,Vigilancia
EC-000060,Consumo,Manabí,2851.5,0.5354,108,60,6040.68,709,0.00369,0.6605,5612.91,13.66,0,Deficiente
EC-000061,Productivo,El Oro,1261.06,0.2422,106,0,3854.7,813,0.002,0.63,3441.85,4.34,0,Normal
EC-000062,Microcrédito,Manabí,3855.23,0.3123,26,0,2900.07,807,0.002,0.492,2211.96,2.18,0,Normal
EC-000063,Microcrédito,Chimborazo,1071.88,0.0923,86,5,2828.39,900,0.002,0.6734,2772.06,3.73,0,Vigilancia
EC-000064,Vivienda,Chimborazo,3800.91,0.2766,115,60,89686.73,715,0.002,0.25,84868.42,42.43,0,Deficiente
EC-000065,Productivo,El Oro,4774.25,0.138,151,0,8284.98,842,0.002,0.4652,6520.6,6.07,0,Normal
EC-000066,Microcrédito,Manabí,2532.75,0.447,160,15,7825.46,791,0.002,0.478,6520.26,6.23,0,Vigilancia
EC-000067,Microcrédito,El Oro,1969.36,0.2271,70,0,1173.51,861,0.002,0.6386,985.68,1.26,0,Normal
EC-000068,Consumo,Guayas,2864.65,0.3853,116,0,1787.72,816,0.002,0.4384,1581.24,1.39,0,Normal
EC-000069,Consumo,Manabí,450.0,0.0526,32,90,1520.82,787,0.002,0.4233,1254.59,1.06,0,Dudoso
EC-000070,Microcrédito,Azuay,2687.77,0.4787,162,0,5216.96,792,0.002,0.667,4063.01,5.42,0,Normal
EC-000071,Consumo,Guayas,2051.49,0.2679,157,0,6636.92,757,0.002,0.5923,6018.07,7.13,0,Normal
EC-000072,Microcrédito,Pichincha,2136.86,0.1595,180,30,2384.44,814,0.002,0.602,2169.16,2.61,0,Vigilancia
EC-000073,Vivienda,El Oro,3495.55,0.7658,88,0,28551.84,691,0.00236,0.25,24093.99,14.24,0,Normal
EC-000074,Consumo,Pichincha,2103.59,0.2771,65,0,8711.15,863,0.002,0.5754,7459.03,8.58,0,Normal
EC-000075,Consumo,Tungurahua,1052.44,0.2309,137,45,4096.92,801,0.002,0.3801,3007.91,2.29,0,Deficiente
EC-000076,Consumo,Manabí,2014.42,0.1353,131,0,11039.7,801,0.002,0.5987,9358.44,11.21,0,Normal
EC-000077,Consumo,Loja,2307.48,0.3335,39,15,9723.87,825,0.002,0.4321,9180.41,7.93,0,Vigilancia
EC-000078,Productivo,Imbabura,2379.65,0.469,98,0,14556.37,810,0.002,0.3937,12891.34,10.15,0,Normal
EC-000079,Microcrédito,El Oro,2453.44,0.3128,116,0,8148.06,806,0.002,0.6744,7967.13,10.75,0,Normal
EC-000080,Vivienda,Imbabura,4339.83,0.5666,82,15,47492.88,735,0.002,0.25,43723.07,21.86,0,Vigilancia
EC-000081,Productivo,Imbabura,1090.16,0.3857,67,0,27847.91,832,0.002,0.3604,26114.05,18.83,0,Normal
EC-000082,Microcrédito,Pichincha,2475.52,0.5499,44,60,4885.13,600,0.01271,0.4523,4144.33,23.83,0,Deficiente
EC-000083,Vivienda,Azuay,5107.44,0.1524,75,90,32023.87,748,0.002,0.25,24612.45,12.31,0,Dudoso
EC-000084,Consumo,El Oro,715.16,0.2443,45,45,3240.23,785,0.002,0.6727,3160.56,4.25,0,Deficiente
EC-000085,Consumo,Chimborazo,2481.88,0.3122,55,0,5908.22,803,0.002,0.3891,5344.43,4.16,0,Normal
EC-000086,Consumo,Guayas,1509.46,0.1904,34,0,9688.92,848,0.002,0.4805,9443.34,9.07,0,Normal
EC-000087,Productivo,Guayas,1735.48,0.334,68,60,14021.5,723,0.00221,0.5923,12519.88,16.4,0,Deficiente
EC-000088,Microcrédito,Chimborazo,1226.45,0.1225,114,0,8500.29,826,0.002,0.563,7201.91,8.11,0,Normal
EC-000089,Consumo,Chimborazo,1977.9,0.4584,68,15,4132.75,724,0.002,0.427,3131.5,2.67,0,Vigilancia
EC-000090,Microcrédito,Guayas,7308.67,0.096,26,45,2398.47,826,0.002,0.4586,1993.98,1.83,0,Deficiente
EC-000091,Consumo,Manabí,970.8,0.8483,145,0,4462.91,663,0.00415,0.5461,3960.01,8.97,0,Normal
EC-000092,Productivo,Tungurahua,1032.52,0.3993,78,0,13329.21,728,0.002,0.3617,13070.81,9.46,0,Normal
EC-000093,Microcrédito,Guayas,947.42,0.4941,106,5,2461.16,762,0.002,0.6002,2343.53,2.81,0,Vigilancia
EC-000094,Microcrédito,Loja,6787.39,0.375,95,5,8913.65,784,0.002,0.4409,7698.53,6.79,0,Vigilancia
EC-000095,Consumo,Loja,1635.13,0.1191,92,0,1454.41,811,0.002,0.6234,1229.61,1.53,0,Normal
EC-000096,Productivo,Tungurahua,2171.85,0.2169,79,5,56806.59,827,0.002,0.5756,41429.98,47.7,0,Vigilancia
EC-000097,Microcrédito,Loja,1699.67,0.289,137,45,5313.68,786,0.002,0.563,4348.36,4.9,0,Deficiente
EC-000098,Consumo,Manabí,1195.27,0.5146,154,0,1931.32,765,0.002,0.6032,1921.22,2.32,0,Normal
EC-000099,Consumo,Azuay,1895.34,0.1401,163,0,2476.26,818,0.002,0.3748,2296.7,1.72,0,Normal
EC-000100,Comercial,Imbabura,10914.62,0.4841,80,30,43771.69,762,0.002,0.4358,37946.98,33.07,0,Vigilancia
EC-000101,Comercial,Guayas,5458.05,0.677,62,30,26365.76,727,0.00214,0.5222,25349.2,28.28,0,Vigilancia
EC-000102,Productivo,Azuay,1268.5,0.3079,15,120,43103.82,709,0.00728,0.6065,31313.01,138.25,0,Pérdida
EC-000103,Consumo,Azuay,3364.12,0.0333,80,0,14267.16,900,0.002,0.6302,14097.88,17.77,0,Normal
EC-000104,Comercial,Chimborazo,1286.28,0.5492,179,60,57256.23,641,0.00846,0.4761,52441.39,211.18,0,Deficiente
EC-000105,Vivienda,Chimborazo,696.01,0.2232,47,30,132849.54,802,0.002,0.25,96146.93,48.07,0,Vigilancia
EC-000106,Productivo,El Oro,4284.17,0.2251,153,15,42974.2,832,0.002,0.4227,39430.93,33.33,0,Vigilancia
EC-000107,Microcrédito,Guayas,4694.09,0.6282,137,0,5396.82,711,0.002,0.3772,4011.33,3.03,0,Normal
EC-000108,Consumo,Imbabura,4358.72,0.1347,119,0,6445.88,874,0.002,0.4314,5795.41,5.0,0,Normal
EC-000109,Consumo,Manabí,1627.15,0.0696,102,0,5177.77,900,0.002,0.648,4164.21,5.4,0,Normal
EC-000110,Comercial,Los Ríos,1981.47,0.2607,137,0,11423.71,869,0.002,0.5295,8903.47,9.43,0,Normal
EC-000111,Microcrédito,Loja,3595.17,0.7522,18,0,4472.37,667,0.00301,0.5088,4006.63,6.13,0,Normal
EC-000112,Consumo,Chimborazo,2848.29,0.1909,24,90,2371.45,709,0.00318,0.5953,1995.65,3.78,0,Dudoso
EC-000113,Consumo,Los Ríos,1709.81,0.3938,36,0,6860.68,798,0.002,0.3533,5063.64,3.58,0,Normal
EC-000114,Productivo,Azuay,770.93,0.2884,138,90,27949.31,630,0.00988,0.389,26559.0,102.12,0,Dudoso
EC-000115,Consumo,Imbabura,2378.01,0.3532,78,0,2252.49,741,0.002,0.3829,1789.63,1.37,0,Normal
EC-000116,Vivienda,Azuay,4453.1,0.2326,38,45,26262.56,772,0.002,0.25,23455.06,11.73,0,Deficiente
EC-000117,Vivienda,Loja,1013.91,0.2156,9,0,33573.28,817,0.002,0.25,29901.07,14.95,0,Normal
EC-000118,Productivo,Azuay,3344.91,0.3703,89,5,40148.74,731,0.002,0.4426,29538.43,26.15,0,Vigilancia
EC-000119,Microcrédito,Tungurahua,2739.42,0.1583,72,0,1224.19,859,0.002,0.6093,1223.27,1.49,0,Normal
EC-000120,Productivo,Azuay,3596.07,0.4963,33,90,15245.68,680,0.0078,0.6269,12887.86,63.03,0,Dudoso
EC-000121,Productivo,Tungurahua,3892.41,0.1677,5,0,59977.08,827,0.002,0.6552,46632.17,61.11,0,Normal
EC-000122,Productivo,El Oro,1406.13,0.7233,136,0,16507.22,720,0.002,0.4147,13903.85,11.53,0,Normal
EC-000123,Consumo,Imbabura,771.99,0.3932,141,120,6059.01,646,0.01741,0.5159,5385.6,48.39,0,Pérdida
EC-000124,Microcrédito,Chimborazo,1561.2,0.5298,45,0,13670.16,765,0.002,0.3661,9854.15,7.21,0,Normal
EC-000125,Consumo,Pichincha,3936.05,0.3339,89,5,6852.48,747,0.002,0.4292,5509.65,4.73,0,Vigilancia
EC-000126,Microcrédito,Chimborazo,1552.62,0.2521,46,0,538.29,782,0.002,0.553,468.41,0.52,0,Normal
EC-000127,Microcrédito,Guayas,1406.52,0.2274,74,0,18471.6,810,0.002,0.4894,16891.42,16.53,0,Normal
EC-000128,Consumo,El Oro,675.95,0.376,20,5,7586.75,735,0.002,0.5779,6128.01,7.08,0,Vigilancia
EC-000129,Consumo,Loja,6899.62,0.2844,171,0,1601.78,886,0.002,0.6269,1334.43,1.67,0,Normal
EC-000130,Productivo,Tungurahua,3777.11,0.5207,130,5,22778.89,790,0.002,0.3696,17811.81,13.17,0,Vigilancia
EC-000131,Consumo,Imbabura,3642.52,0.4914,163,0,4111.2,742,0.002,0.6597,3297.4,4.35,0,Normal
EC-000132,Comercial,Los Ríos,4142.36,0.4712,54,30,13356.72,727,0.002,0.364,12187.47,8.87,0,Vigilancia
EC-000133,Productivo,Manabí,3212.68,0.4891,158,180,12764.45,657,0.04853,0.674,10395.79,340.03,0,Pérdida
EC-000134,Microcrédito,Chimborazo,1884.06,0.429,94,0,3106.77,761,0.002,0.5604,2480.12,2.78,0,Normal
EC-000135,Productivo,Loja,1985.36,0.2786,36,0,39550.28,838,0.002,0.3643,31782.48,23.16,0,Normal
EC-000136,Consumo,Azuay,1672.51,0.2001,60,0,3910.25,877,0.002,0.4799,3486.15,3.35,0,Normal
EC-000137,Comercial,Loja,12241.43,0.2278,147,30,28798.94,855,0.002,0.4352,25257.49,21.98,0,Vigilancia
EC-000138,Microcrédito,El Oro,3169.54,0.4137,140,0,3009.27,803,0.002,0.6135,2509.52,3.08,0,Normal
EC-000139,Vivienda,Tungurahua,1633.58,0.165,130,15,63379.73,871,0.002,0.25,56854.69,28.43,0,Vigilancia
EC-000140,Consumo,Los Ríos,2988.64,0.431,41,0,5154.53,760,0.002,0.6227,4638.99,5.78,0,Normal
EC-000141,Microcrédito,Azuay,1144.74,0.1245,117,5,1521.69,900,0.002,0.4531,1101.2,1.0,0,Vigilancia
EC-000142,Microcrédito,Loja,5871.88,0.4179,170,45,4616.86,750,0.002,0.6764,3762.45,5.09,0,Deficiente
EC-000143,Comercial,Chimborazo,1436.99,0.3458,9,0,10592.34,825,0.002,0.4392,8351.01,7.34,0,Normal
EC-000144,Productivo,Manabí,3058.58,0.1862,58,0,9338.59,825,0.002,0.576,8891.77,10.24,0,Normal
EC-000145,Microcrédito,Azuay,4415.54,0.1277,15,0,1803.14,865,0.002,0.6141,1437.32,1.77,0,Normal
EC-000146,Consumo,Chimborazo,2835.86,0.6239,19,0,1101.84,748,0.002,0.4214,891.21,0.75,0,Normal
EC-000147,Microcrédito,Manabí,2348.2,0.3565,180,0,1759.47,775,0.002,0.375,1531.76,1.15,0,Normal
EC-000148,Microcrédito,Chimborazo,2223.91,0.1671,44,45,3700.16,742,0.002,0.5319,3231.24,3.44,0,Deficiente
EC-000149,Microcrédito,Chimborazo,2128.8,0.6146,33,0,8554.65,724,0.002,0.5734,8101.87,9.29,0,Normal
EC-000150,Consumo,Chimborazo,1518.0,0.5435,14,0,10847.84,779,0.002,0.6197,8988.74,11.14,0,Normal
EC-000151,Vivienda,El Oro,1648.85,0.4429,177,0,25138.73,720,0.002,0.25,20078.95,10.04,0,Normal
EC-000152,Vivienda,Imbabura,5777.54,0.1502,85,0,26903.21,845,0.002,0.25,23952.14,11.98,0,Normal
EC-000153,Consumo,Chimborazo,2057.92,0.209,143,90,4774.94,764,0.002,0.6522,4411.65,5.75,0,Dudoso
EC-000154,Microcrédito,Azuay,1325.09,0.0409,46,0,2988.11,818,0.002,0.6071,2981.92,3.62,0,Normal
EC-000155,Consumo,Pichincha,1578.78,0.1612,116,0,4925.34,891,0.002,0.3525,4398.93,3.1,0,Normal
EC-000156,Productivo,Loja,4515.36,0.2681,160,0,23154.43,795,0.002,0.3788,19852.74,15.04,0,Normal
EC-000157,Consumo,Tungurahua,3425.99,0.3444,121,120,8535.72,620,0.01912,0.6793,6463.75,83.95,0,Pérdida
EC-000158,Productivo,El Oro,3178.66,0.4535,94,45,15962.63,717,0.00216,0.5922,15904.18,20.35,0,Deficiente
EC-000159,Productivo,Pichincha,1867.98,0.1868,38,0,7583.63,895,0.002,0.5568,6914.74,7.7,0,Normal
EC-000160,Vivienda,El Oro,3205.7,0.0669,43,5,33562.56,834,0.002,0.25,25715.8,12.86,0,Vigilancia
EC-000161,Consumo,Guayas,1453.44,0.1202,108,45,14107.05,733,0.002,0.3631,11972.79,8.69,0,Deficiente
EC-000162,Comercial,El Oro,1865.44,0.4483,82,30,18487.98,687,0.00238,0.5999,16211.82,23.1,0,Vigilancia
EC-000163,Consumo,El Oro,4147.96,0.5712,9,0,13681.14,776,0.002,0.566,10681.21,12.09,0,Normal
EC-000164,Consumo,Tungurahua,3898.24,0.2573,36,30,3713.36,732,0.002,0.6299,3435.21,4.33,0,Vigilancia
EC-000165,Microcrédito,Manabí,1166.49,0.3064,78,5,3618.41,839,0.002,0.6067,3264.15,3.96,0,Vigilancia
EC-000166,Microcrédito,Manabí,1266.37,0.5382,33,0,2263.89,746,0.002,0.51,1778.17,1.81,0,Normal
EC-000167,Vivienda,Tungurahua,2370.03,0.2815,100,0,39867.24,820,0.002,0.25,39752.9,19.88,0,Normal
EC-000168,Vivienda,Imbabura,6781.72,0.2447,55,0,34057.52,842,0.002,0.25,33568.02,16.78,0,Normal
EC-000169,Consumo,Los Ríos,635.8,0.4648,53,0,2136.54,729,0.002,0.602,1697.15,2.04,0,Normal
EC-000170,Comercial,Loja,2646.3,0.4792,20,0,29934.74,767,0.002,0.4676,25256.16,23.62,0,Normal
EC-000171,Consumo,Manabí,902.86,0.2791,91,45,6494.12,708,0.002,0.6747,6302.81,8.5,0,Deficiente
EC-000172,Microcrédito,Loja,1462.18,0.4602,34,45,3204.11,750,0.002,0.4527,2671.47,2.42,0,Deficiente
EC-000173,Consumo,El Oro,1742.58,0.1893,114,0,3461.97,806,0.002,0.4723,3418.17,3.23,0,Normal
EC-000174,Comercial,Guayas,1680.2,0.3117,169,0,13320.67,830,0.002,0.6716,10338.36,13.89,0,Normal
EC-000175,Consumo,Manabí,1560.92,0.355,165,15,5131.67,747,0.002,0.5705,4735.13,5.4,0,Vigilancia
EC-000176,Consumo,Guayas,2218.72,0.1697,121,0,12857.9,831,0.002,0.6401,11416.04,14.62,0,Normal
EC-000177,Microcrédito,El Oro,1559.44,0.1943,146,0,1843.78,827,0.002,0.643,1506.24,1.94,0,Normal
EC-000178,Comercial,Los Ríos,853.55,0.2366,166,45,27739.58,868,0.002,0.527,25547.65,26.93,0,Deficiente
EC-000179,Vivienda,Chimborazo,3666.22,0.4459,123,0,102838.24,791,0.002,0.25,74740.66,37.37,0,Normal
EC-000180,Vivienda,Manabí,3602.44,0.5441,47,0,16743.6,726,0.002,0.25,13137.76,6.57,0,Normal
EC-000181,Vivienda,Pichincha,3820.22,0.5442,91,30,20009.87,708,0.00215,0.25,15871.09,8.54,0,Vigilancia
EC-000182,Vivienda,Azuay,811.21,0.4953,155,5,55231.73,705,0.002,0.25,41583.51,20.79,0,Vigilancia
EC-000183,Microcrédito,Guayas,2681.94,0.2189,121,0,3016.65,835,0.002,0.5287,2200.67,2.33,0,Normal
EC-000184,Consumo,Imbabura,3426.81,0.6624,66,15,5169.55,775,0.002,0.3532,4232.96,2.99,0,Vigilancia
EC-000185,Vivienda,Chimborazo,1129.71,0.0424,31,90,34140.21,746,0.002,0.25,26667.5,13.33,0,Dudoso
EC-000186,Productivo,El Oro,2221.55,0.4765,26,0,13995.14,794,0.002,0.5534,10597.16,11.73,0,Normal
EC-000187,Microcrédito,Guayas,2047.61,0.3842,68,5,3593.28,752,0.002,0.6122,2745.43,3.36,0,Vigilancia
EC-000188,Consumo,Pichincha,7312.92,0.1077,145,0,9687.76,869,0.002,0.5008,9216.5,9.23,0,Normal
EC-000189,Vivienda,Chimborazo,7715.01,0.263,100,0,51683.87,844,0.002,0.25,38585.77,19.29,0,Normal
EC-000190,Consumo,Loja,748.57,0.3454,11,0,6276.72,753,0.002,0.4842,5793.16,5.61,0,Normal
EC-000191,Comercial,Guayas,11170.73,0.1272,166,0,9724.66,890,0.002,0.6035,7148.67,8.63,0,Normal
EC-000192,Consumo,Guayas,1218.17,0.3017,73,0,2386.81,826,0.002,0.3858,1745.66,1.35,0,Normal
EC-000193,Consumo,Azuay,4177.37,0.154,71,45,24930.25,809,0.002,0.5349,21036.85,22.5,0,Deficiente
EC-000194,Vivienda,Tungurahua,4149.83,0.371,148,0,81501.86,804,0.002,0.25,67395.42,33.7,0,Normal
EC-000195,Consumo,Los Ríos,1156.09,0.3906,68,60,3912.27,740,0.00209,0.4872,3414.67,3.47,0,Deficiente
EC-000196,Consumo,Azuay,3043.08,0.0888,112,0,2235.6,861,0.002,0.5484,2049.46,2.25,0,Normal
EC-000197,Productivo,Tungurahua,2059.26,0.3166,166,45,16206.1,742,0.002,0.6415,13074.22,16.78,0,Deficiente
EC-000198,Vivienda,Pichincha,3166.29,0.4217,94,0,23005.03,841,0.002,0.25,17815.88,8.91,0,Normal
EC-000199,Consumo,Pichincha,2565.57,0.049,111,0,21496.07,838,0.002,0.3946,20425.41,16.12,0,Normal
EC-000200,Consumo,Pichincha,4806.0,0.4027,64,15,3399.2,714,0.002,0.3701,2604.76,1.93,0,Vigilancia
EC-000201,Vivienda,Chimborazo,2319.27,0.4649,161,30,48200.67,711,0.002,0.25,45480.55,22.74,0,Vigilancia
EC-000202,Comercial,El Oro,1980.06,0.6296,14,0,26754.84,737,0.002,0.6472,23662.01,30.63,0,Normal
EC-000203,Microcrédito,Los Ríos,4502.74,0.3836,50,0,3130.5,840,0.002,0.5778,2507.6,2.9,0,Normal
EC-000204,Consumo,Pichincha,3220.39,0.1491,179,5,20788.69,828,0.002,0.6722,16797.11,22.58,0,Vigilancia
EC-000205,Consumo,Pichincha,3553.47,0.3574,88,5,13208.72,862,0.002,0.5837,10881.03,12.7,0,Vigilancia
EC-000206,Consumo,Los Ríos,1433.71,0.3714,32,0,4208.54,784,0.002,0.4452,3726.67,3.32,0,Normal
EC-000207,Consumo,Guayas,1119.43,0.4703,75,30,6930.58,721,0.002,0.4343,6891.05,5.99,0,Vigilancia
EC-000208,Productivo,Guayas,1526.88,0.5912,46,0,35666.79,706,0.002,0.57,28858.59,32.9,0,Normal
EC-000209,Consumo,El Oro,1475.08,0.337,95,0,4851.0,871,0.002,0.573,4772.04,5.47,0,Normal
EC-000210,Microcrédito,Tungurahua,3681.33,0.3144,43,5,3867.22,796,0.002,0.5229,3006.54,3.14,0,Vigilancia
EC-000211,Productivo,Azuay,4164.66,0.3309,72,180,8789.63,602,0.0623,0.5239,6606.53,215.62,0,Pérdida
EC-000212,Productivo,Manabí,1996.53,0.2786,164,0,105643.97,900,0.002,0.4875,91803.75,89.51,0,Normal
EC-000213,Consumo,Tungurahua,5597.62,0.3798,15,0,11085.02,805,0.002,0.4655,11012.02,10.25,0,Normal
EC-000214,Vivienda,Manabí,5374.95,0.1587,138,0,47213.69,889,0.002,0.25,40403.68,20.2,0,Normal
EC-000215,Productivo,Loja,2586.88,0.4777,15,15,73097.71,800,0.002,0.5967,69002.5,82.34,0,Vigilancia
EC-000216,Vivienda,Pichincha,1294.36,0.3971,83,0,55206.06,807,0.002,0.25,47052.84,23.53,0,Normal
EC-000217,Consumo,Manabí,6148.69,0.3511,121,0,1623.31,852,0.002,0.4516,1555.14,1.4,0,Normal
EC-000218,Consumo,Los Ríos,2122.48,0.1558,172,0,3677.07,854,0.002,0.6331,3484.27,4.41,0,Normal
EC-000219,Comercial,Tungurahua,2397.08,0.1332,46,60,13729.51,790,0.002,0.4499,12523.15,11.27,0,Deficiente
